id,day_of_week,hour_of_day,total_calories,avg_activity_level
4319703577,1,17,273.3764479,0.06666666667
4319703577,1,18,276.3080587,0.075
4319703577,1,19,256.8987792,0.02916666667
4319703577,1,20,288.820659,0.09583333333
4319703577,1,21,266.5966995,0.04166666667
4319703577,1,22,364.9318281,0.2416666667
4319703577,1,23,246.6884499,0.008333333333
4319703577,2,0,247.8979301,0.0125
4319703577,2,1,249.6159804,0.01666666667
4319703577,2,2,244.46471,0.004166666667
4319703577,2,3,246.5835202,0.008333333333
4319703577,2,4,256.69276,0.03333333333
4319703577,2,5,246.48627,0.008333333333
4319703577,2,6,244.5637602,0.004166666667
4319703577,2,7,264.8848894,0.04583333333
4319703577,2,8,322.6805278,0.1541666667
4319703577,2,9,280.847149,0.07083333333
4319703577,2,10,738.4435881,0.8416666667
